タイムスタンプ,匿名番号,今日の理解度,今日わかったこと・気づき,今日の学び方,質問・モヤモヤ
2026/09/10 14:39:27,S06,4,井原西鶴が町人の生活を小説にしたとわかった,先生に質問した、前に習ったことと結びつけた,
2026/09/10 14:44:39,S07,4,井原西鶴が町人の生活を小説にしたとわかった,友だちと話して考えた,
2026/09/10 14:49:57,S08,4,浮世絵が庶民に広まったことがわかった,先生に質問した、ノートに自分でまとめ直した,
2026/09/10 14:52:53,S09,3,元禄文化をやった,どれもしていない,
2026/09/10 14:51:36,S10,3,近松門左衛門の人形浄瑠璃が人気だったと知った,先生に質問した,
2026/09/10 14:39:48,S11,2,改革の名前が覚えられない,友だちと話して考えた,お金の流れを図でもう一回教えてください
2026/09/10 14:45:41,S12,3,浮世絵が庶民に広まったことがわかった,先生に質問した、ノートに自分でまとめ直した,
2026/09/10 14:52:27,S13,5,近松門左衛門の人形浄瑠璃が人気だったと知った,友だちと話して考えた,
2026/09/10 14:44:51,S14,2,近松門左衛門の人形浄瑠璃が人気だったと知った,前に習ったことと結びつけた,
2026/09/10 14:52:48,S15,4,特にむずかしくなかった,どれもしていない,
2026/09/10 14:38:20,S16,5,浮世絵が庶民に広まったことがわかった,ノートに自分でまとめ直した,
2026/09/10 14:44:02,S17,5,浮世絵が庶民に広まったことがわかった。授業が楽しかった,ノートに自分でまとめ直した,
2026/09/10 14:48:35,S18,4,近松門左衛門の人形浄瑠璃が人気だったと知った,前に習ったことと結びつけた,
2026/09/10 14:49:22,S19,3,元禄文化は上方の町人の文化だとわかった。発表があると思うときんちょうする,ノートに自分でまとめ直した,
2026/09/10 14:51:38,S20,5,井原西鶴が町人の生活を小説にしたとわかった,友だちと話して考えた,
2026/09/10 14:45:17,S21,3,井原西鶴が町人の生活を小説にしたとわかった,ノートに自分でまとめ直した,
2026/09/10 14:40:43,S22,4,近松門左衛門の人形浄瑠璃が人気だったと知った,友だちと話して考えた,とくにありません
2026/09/10 14:46:04,S23,3,教科書を読んだ,どれもしていない,
2026/09/10 14:44:32,S24,3,近松門左衛門の人形浄瑠璃が人気だったと知った,ノートに自分でまとめ直した,
2026/09/10 14:47:14,S25,3,元禄文化は上方の町人の文化だとわかった。授業が楽しかった,ノートに自分でまとめ直した,
2026/09/10 14:47:59,S26,4,近松門左衛門の人形浄瑠璃が人気だったと知った,ノートに自分でまとめ直した、前に習ったことと結びつけた,とくにありません
2026/09/10 14:51:39,S27,5,元禄文化は上方の町人の文化だとわかった,資料集・地図で調べた,
2026/09/10 14:49:38,S28,3,元禄文化は上方の町人の文化だとわかった,ノートに自分でまとめ直した、資料集・地図で調べた,
2026/09/10 14:39:53,S29,3,井原西鶴が町人の生活を小説にしたとわかった,先生に質問した,
2026/09/10 14:50:14,S30,3,浮世絵が庶民に広まったことがわかった,資料集・地図で調べた,
2026/09/11 14:51:53,S01,3,上げ米の制で大名に米を出させたとわかった,友だちと話して考えた,
2026/09/11 14:50:28,S02,3,公事方御定書で裁判の基準を作ったとわかった,資料集・地図で調べた,今日の内容は現在の沖縄とつながりがありますか
2026/09/11 14:52:05,S03,4,目安箱で庶民の意見を聞いたのがすごいと思った,前に習ったことと結びつけた,
2026/09/11 14:41:52,S04,2,上げ米の制で大名に米を出させたとわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/09/11 14:50:04,S05,3,上げ米の制で大名に米を出させたとわかった,前に習ったことと結びつけた,
2026/09/11 14:44:43,S06,3,徳川吉宗が財政の立て直しをしたことがわかった,前に習ったことと結びつけた,
2026/09/11 14:49:03,S07,4,目安箱で庶民の意見を聞いたのがすごいと思った,ノートに自分でまとめ直した,
2026/09/11 14:41:38,S08,3,徳川吉宗が財政の立て直しをしたことがわかった,ノートに自分でまとめ直した,
2026/09/11 14:44:27,S09,3,享保の改革をやった,資料集・地図で調べた,
2026/09/11 14:46:14,S10,3,上げ米の制で大名に米を出させたとわかった,資料集・地図で調べた,
2026/09/11 14:50:07,S11,2,株仲間と今の会社のちがいがわからない,友だちと話して考えた,
2026/09/11 14:52:49,S12,1,目安箱で庶民の意見を聞いたのがすごいと思った,ノートに自分でまとめ直した,
2026/09/11 14:47:58,S13,4,公事方御定書で裁判の基準を作ったとわかった,友だちと話して考えた、ノートに自分でまとめ直した,
2026/09/11 14:47:25,S14,4,公事方御定書で裁判の基準を作ったとわかった,前に習ったことと結びつけた,
2026/09/11 14:39:00,S15,5,ふつうにわかった,どれもしていない,
2026/09/11 14:49:46,S16,2,上げ米の制で大名に米を出させたとわかった,ノートに自分でまとめ直した,
2026/09/11 14:46:40,S17,2,目安箱で庶民の意見を聞いたのがすごいと思った,友だちと話して考えた,
2026/09/11 14:47:31,S18,3,目安箱で庶民の意見を聞いたのがすごいと思った,先生に質問した,
2026/09/11 14:38:35,S19,2,公事方御定書で裁判の基準を作ったとわかった,ノートに自分でまとめ直した,
2026/09/11 14:43:34,S20,4,公事方御定書で裁判の基準を作ったとわかった,友だちと話して考えた,
2026/09/11 14:45:19,S21,4,公事方御定書で裁判の基準を作ったとわかった,先生に質問した,
2026/09/11 14:47:25,S22,3,目安箱で庶民の意見を聞いたのがすごいと思った,前に習ったことと結びつけた,
2026/09/11 14:38:50,S23,2,何となくわかった,どれもしていない,
2026/09/11 14:40:41,S24,3,目安箱で庶民の意見を聞いたのがすごいと思った,資料集・地図で調べた,
2026/09/11 14:38:56,S25,3,徳川吉宗が財政の立て直しをしたことがわかった,友だちと話して考えた,
2026/09/11 14:40:37,S26,3,上げ米の制で大名に米を出させたとわかった,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/11 14:50:20,S27,2,上げ米の制で大名に米を出させたとわかった,先生に質問した,
2026/09/11 14:48:57,S28,4,上げ米の制で大名に米を出させたとわかった,友だちと話して考えた,
2026/09/11 14:51:22,S29,1,徳川吉宗が財政の立て直しをしたことがわかった,資料集・地図で調べた,
2026/09/11 14:50:30,S30,3,上げ米の制で大名に米を出させたとわかった,ノートに自分でまとめ直した,
2026/09/14 14:46:06,S01,4,寛政の改革がきびしすぎて不満が出たとわかった,ノートに自分でまとめ直した,
2026/09/14 14:41:02,S02,3,寛政の改革がきびしすぎて不満が出たとわかった,前に習ったことと結びつけた,改革はなぜ何回も失敗するんですか
2026/09/14 14:52:56,S03,4,寛政の改革がきびしすぎて不満が出たとわかった,前に習ったことと結びつけた,
2026/09/14 14:45:10,S04,2,田沼と定信のやったことが逆になる,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/09/14 14:45:15,S05,3,田沼は商業の力、松平定信は倹約と農業でちがう方向だとわかった,友だちと話して考えた,
2026/09/14 14:46:21,S06,3,田沼の政治がわいろで批判されたことがわかった,先生に質問した,
2026/09/14 14:52:11,S07,2,改革のちがいがよくわからなかった,どれもしていない,
2026/09/14 14:38:52,S08,4,田沼は商業の力、松平定信は倹約と農業でちがう方向だとわかった,前に習ったことと結びつけた,
2026/09/14 14:42:26,S09,3,田沼の政治と寛政の改革をやった,どれもしていない,
2026/09/14 14:51:25,S10,2,田沼は商業の力、松平定信は倹約と農業でちがう方向だとわかった,前に習ったことと結びつけた,
2026/09/14 14:51:57,S11,2,改革の名前が覚えられない,友だちと話して考えた,
2026/09/14 14:38:24,S12,3,寛政の改革がきびしすぎて不満が出たとわかった,ノートに自分でまとめ直した,とくにありません
2026/09/14 14:40:44,S13,3,寛政の改革がきびしすぎて不満が出たとわかった,先生に質問した、前に習ったことと結びつけた,
2026/09/14 14:50:16,S14,3,寛政の改革がきびしすぎて不満が出たとわかった,ノートに自分でまとめ直した,
2026/09/14 14:51:18,S15,5,ふつうにわかった,どれもしていない,
2026/09/14 14:44:56,S16,2,田沼の政治がわいろで批判されたことがわかった,ノートに自分でまとめ直した,
2026/09/14 14:47:02,S17,2,寛政の改革がきびしすぎて不満が出たとわかった,前に習ったことと結びつけた、ノートに自分でまとめ直した,
2026/09/14 14:51:53,S18,3,改革ごとに何を大事にしたかを比べるとわかりやすいと気づいた,ノートに自分でまとめ直した,とくにありません
2026/09/14 14:48:11,S19,3,改革ごとに何を大事にしたかを比べるとわかりやすいと気づいた,ノートに自分でまとめ直した,
2026/09/14 14:46:11,S20,2,田沼の政治がわいろで批判されたことがわかった,ノートに自分でまとめ直した,
2026/09/14 14:47:51,S21,3,田沼は商業の力、松平定信は倹約と農業でちがう方向だとわかった,友だちと話して考えた,とくにありません
2026/09/14 14:41:34,S22,2,田沼は商業の力、松平定信は倹約と農業でちがう方向だとわかった,ノートに自分でまとめ直した,
2026/09/14 14:39:08,S23,2,むずかしかった,資料集・地図で調べた,
2026/09/14 14:51:38,S24,4,改革ごとに何を大事にしたかを比べるとわかりやすいと気づいた,前に習ったことと結びつけた,
2026/09/14 14:46:23,S25,1,改革ごとに何を大事にしたかを比べるとわかりやすいと気づいた,先生に質問した,
2026/09/14 14:48:35,S26,3,田沼の政治がわいろで批判されたことがわかった,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/14 14:43:24,S27,2,寛政の改革がきびしすぎて不満が出たとわかった,友だちと話して考えた,
2026/09/14 14:52:51,S28,2,寛政の改革がきびしすぎて不満が出たとわかった,前に習ったことと結びつけた、ノートに自分でまとめ直した,
2026/09/14 14:52:00,S29,3,改革ごとに何を大事にしたかを比べるとわかりやすいと気づいた,ノートに自分でまとめ直した,
2026/09/14 14:41:10,S30,3,田沼は商業の力、松平定信は倹約と農業でちがう方向だとわかった,資料集・地図で調べた、前に習ったことと結びつけた,
2026/09/15 14:52:35,S01,2,からかさ連判状で名前を丸く書く理由に納得した,前に習ったことと結びつけた,
2026/09/15 14:42:34,S02,3,百姓一揆と打ちこわしのちがいがわかった,資料集・地図で調べた,一揆をした人はどうなったんですか
2026/09/15 14:46:56,S03,4,ききんが一揆の引き金になったことがわかった,前に習ったことと結びつけた,
2026/09/15 14:40:54,S04,2,百姓一揆と打ちこわしのちがいがわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,
2026/09/15 14:38:45,S05,4,ききんが一揆の引き金になったことがわかった,前に習ったことと結びつけた,
2026/09/15 14:43:50,S06,2,農村で貧富の差が広がっていたことがわかった,ノートに自分でまとめ直した,
2026/09/15 14:49:17,S07,2,とくにないです,どれもしていない,
2026/09/15 14:49:06,S08,2,ききんが一揆の引き金になったことがわかった,ノートに自分でまとめ直した,
2026/09/15 14:40:17,S09,3,農村の変化と百姓一揆をやった,どれもしていない,
2026/09/15 14:50:20,S10,3,からかさ連判状で名前を丸く書く理由に納得した,先生に質問した,とくにありません
2026/09/15 14:41:59,S11,4,百姓一揆と打ちこわしのちがいがわかった,友だちと話して考えた,
2026/09/15 14:44:29,S12,3,百姓一揆と打ちこわしのちがいがわかった,資料集・地図で調べた,
2026/09/15 14:41:59,S13,3,農村で貧富の差が広がっていたことがわかった,友だちと話して考えた,
2026/09/15 14:39:49,S14,2,からかさ連判状で名前を丸く書く理由に納得した,先生に質問した,
2026/09/15 14:47:55,S15,5,わかった,資料集・地図で調べた,
2026/09/15 14:47:53,S16,4,農村で貧富の差が広がっていたことがわかった,資料集・地図で調べた,
2026/09/15 14:38:25,S17,3,百姓一揆と打ちこわしのちがいがわかった,友だちと話して考えた,
2026/09/15 14:51:43,S18,4,ききんが一揆の引き金になったことがわかった,前に習ったことと結びつけた、先生に質問した,
2026/09/15 14:46:30,S19,3,百姓一揆と打ちこわしのちがいがわかった,ノートに自分でまとめ直した,
2026/09/15 14:51:51,S20,3,百姓一揆と打ちこわしのちがいがわかった,先生に質問した,
2026/09/15 14:48:21,S21,4,農村で貧富の差が広がっていたことがわかった,前に習ったことと結びつけた,
2026/09/15 14:45:14,S22,4,からかさ連判状で名前を丸く書く理由に納得した,友だちと話して考えた,
2026/09/15 14:48:59,S23,2,ノートは写した,資料集・地図で調べた,
2026/09/15 14:40:27,S24,2,からかさ連判状で名前を丸く書く理由に納得した,資料集・地図で調べた、前に習ったことと結びつけた,
2026/09/15 14:49:00,S25,2,からかさ連判状で名前を丸く書く理由に納得した,前に習ったことと結びつけた,
2026/09/15 14:39:12,S26,3,からかさ連判状で名前を丸く書く理由に納得した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/15 14:41:10,S27,1,からかさ連判状で名前を丸く書く理由に納得した,ノートに自分でまとめ直した,
2026/09/15 14:45:33,S28,2,ききんが一揆の引き金になったことがわかった,資料集・地図で調べた,
2026/09/15 14:40:56,S29,4,からかさ連判状で名前を丸く書く理由に納得した,友だちと話して考えた,
2026/09/15 14:43:22,S30,3,農村で貧富の差が広がっていたことがわかった,友だちと話して考えた,
2026/09/16 14:42:29,S01,3,葛飾北斎の富嶽三十六景を見たことがあったのでつながった,前に習ったことと結びつけた,
2026/09/16 14:51:43,S02,4,葛飾北斎の富嶽三十六景を見たことがあったのでつながった,前に習ったことと結びつけた,今日の内容は現在の沖縄とつながりがありますか
2026/09/16 14:38:27,S03,5,化政文化は江戸の庶民の文化だとわかった,前に習ったことと結びつけた,
2026/09/16 14:48:29,S04,3,元禄と化政を人物で区別しようとして混ざる,ノートに自分でまとめ直した,
2026/09/16 14:46:18,S05,4,寺子屋で読み書きそろばんを学んでいたと知った,友だちと話して考えた,
2026/09/16 14:52:46,S06,3,川柳や狂歌で世の中を皮肉ったのがおもしろかった,ノートに自分でまとめ直した,
2026/09/16 14:43:01,S07,2,とくにないです,どれもしていない,
2026/09/16 14:52:35,S08,3,葛飾北斎の富嶽三十六景を見たことがあったのでつながった,前に習ったことと結びつけた,
2026/09/16 14:50:45,S09,3,化政文化をやった,どれもしていない,
2026/09/16 14:47:22,S10,3,葛飾北斎の富嶽三十六景を見たことがあったのでつながった,先生に質問した,
2026/09/16 14:51:54,S11,4,化政文化は江戸の庶民の文化だとわかった,友だちと話して考えた,
2026/09/16 14:48:08,S12,3,川柳や狂歌で世の中を皮肉ったのがおもしろかった,友だちと話して考えた,
2026/09/16 14:40:51,S13,4,寺子屋で読み書きそろばんを学んでいたと知った,資料集・地図で調べた,
2026/09/16 14:38:52,S14,3,化政文化は江戸の庶民の文化だとわかった,先生に質問した,
2026/09/16 14:48:36,S15,5,わかった,資料集・地図で調べた,
2026/09/16 14:43:43,S16,5,化政文化は江戸の庶民の文化だとわかった,資料集・地図で調べた,
2026/09/16 14:51:49,S17,4,寺子屋で読み書きそろばんを学んでいたと知った,先生に質問した,
2026/09/16 14:43:18,S18,4,葛飾北斎の富嶽三十六景を見たことがあったのでつながった,先生に質問した,
2026/09/16 14:42:31,S19,3,葛飾北斎の富嶽三十六景を見たことがあったのでつながった。発表があると思うときんちょうする,ノートに自分でまとめ直した,
2026/09/16 14:46:04,S20,5,川柳や狂歌で世の中を皮肉ったのがおもしろかった,先生に質問した,
2026/09/16 14:52:26,S21,3,葛飾北斎の富嶽三十六景を見たことがあったのでつながった,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/16 14:50:12,S22,4,川柳や狂歌で世の中を皮肉ったのがおもしろかった,資料集・地図で調べた、前に習ったことと結びつけた,
2026/09/16 14:45:24,S23,3,むずかしかった,どれもしていない,
2026/09/16 14:41:19,S24,4,川柳や狂歌で世の中を皮肉ったのがおもしろかった,友だちと話して考えた,
2026/09/16 14:47:16,S25,4,化政文化は江戸の庶民の文化だとわかった,先生に質問した,
2026/09/16 14:47:11,S26,4,化政文化は江戸の庶民の文化だとわかった。表にまとめ直した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/16 14:43:40,S27,5,寺子屋で読み書きそろばんを学んでいたと知った,資料集・地図で調べた,
2026/09/16 14:47:48,S28,4,寺子屋で読み書きそろばんを学んでいたと知った,前に習ったことと結びつけた、資料集・地図で調べた,
2026/09/16 14:41:11,S29,5,寺子屋で読み書きそろばんを学んでいたと知った,先生に質問した,
2026/09/16 14:45:51,S30,4,寺子屋で読み書きそろばんを学んでいたと知った,先生に質問した,
2026/09/17 14:45:21,S01,4,外国船が日本に近づいてきていた背景がわかった,資料集・地図で調べた,
2026/09/17 14:49:05,S02,3,水野忠邦の改革が株仲間の解散までしたとわかった,資料集・地図で調べた,外国船はどこの国が多かったんですか
2026/09/17 14:51:32,S03,4,外国船が日本に近づいてきていた背景がわかった,前に習ったことと結びつけた,
2026/09/17 14:49:07,S04,2,外国船が日本に近づいてきていた背景がわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,図で整理するプリントがほしいです。テスト範囲はどこまでですか
2026/09/17 14:49:11,S05,3,水野忠邦の改革が株仲間の解散までしたとわかった,資料集・地図で調べた、前に習ったことと結びつけた,
2026/09/17 14:38:37,S06,3,異国船打払令が出されたことを知った,前に習ったことと結びつけた,
2026/09/17 14:46:21,S07,1,わかりません,どれもしていない,
2026/09/17 14:44:22,S08,2,水野忠邦の改革が株仲間の解散までしたとわかった,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/17 14:45:25,S09,3,天保の改革と外国船をやった,資料集・地図で調べた,
2026/09/17 14:39:10,S10,3,水野忠邦の改革が株仲間の解散までしたとわかった,先生に質問した,
2026/09/17 14:40:38,S11,3,水野忠邦の改革が株仲間の解散までしたとわかった,友だちと話して考えた,
2026/09/17 14:46:40,S12,2,外国船が日本に近づいてきていた背景がわかった,資料集・地図で調べた,
2026/09/17 14:40:41,S13,2,水野忠邦の改革が株仲間の解散までしたとわかった,先生に質問した,テスト範囲はどこまでですか
2026/09/17 14:44:23,S14,3,異国船打払令が出されたことを知った,前に習ったことと結びつけた、ノートに自分でまとめ直した,
2026/09/17 14:46:53,S15,4,わかった,資料集・地図で調べた,
2026/09/17 14:38:57,S16,3,天保の改革が失敗に終わった理由がわかった,資料集・地図で調べた,とくにありません
2026/09/17 14:45:47,S17,2,天保の改革が失敗に終わった理由がわかった,資料集・地図で調べた,
2026/09/17 14:46:40,S18,2,水野忠邦の改革が株仲間の解散までしたとわかった,友だちと話して考えた,テスト範囲はどこまでですか
2026/09/17 14:46:56,S19,2,テストのことを考えると内容が頭に入らなかった,友だちと話して考えた,テストは記述問題が多いですか。テスト範囲はどこまでですか
2026/09/17 14:47:47,S20,3,天保の改革が失敗に終わった理由がわかった,友だちと話して考えた,
2026/09/17 14:49:58,S21,3,外国船が日本に近づいてきていた背景がわかった,先生に質問した、前に習ったことと結びつけた,
2026/09/17 14:50:02,S22,3,水野忠邦の改革が株仲間の解散までしたとわかった,前に習ったことと結びつけた,
2026/09/17 14:42:04,S23,2,ノートは写した,資料集・地図で調べた,とくにありません
2026/09/17 14:51:59,S24,4,外国船が日本に近づいてきていた背景がわかった,ノートに自分でまとめ直した、資料集・地図で調べた,
2026/09/17 14:43:21,S25,4,外国船が日本に近づいてきていた背景がわかった,資料集・地図で調べた,
2026/09/17 14:47:17,S26,3,外国船が日本に近づいてきていた背景がわかった。表にまとめ直した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/17 14:47:52,S27,2,異国船打払令が出されたことを知った,ノートに自分でまとめ直した,
2026/09/17 14:43:00,S28,2,異国船打払令が出されたことを知った,ノートに自分でまとめ直した,とくにありません
2026/09/17 14:47:16,S29,4,水野忠邦の改革が株仲間の解散までしたとわかった,資料集・地図で調べた、ノートに自分でまとめ直した,
2026/09/17 14:38:20,S30,3,外国船が日本に近づいてきていた背景がわかった,先生に質問した,テスト範囲はどこまでですか
2026/09/18 14:41:30,S01,4,まちがえた問題の理由を考え直せた,友だちと話して考えた,
2026/09/18 14:40:36,S02,4,まちがえた問題の理由を考え直せた,資料集・地図で調べた,今日の内容は現在の沖縄とつながりがありますか
2026/09/18 14:41:41,S03,4,テストで改革の区別があいまいだったところを確認できた,前に習ったことと結びつけた,
2026/09/18 14:52:57,S04,2,まちがえた問題の理由を考え直せた,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/09/18 14:50:57,S05,3,まちがえた問題の理由を考え直せた,ノートに自分でまとめ直した,
2026/09/18 14:39:23,S06,2,テストで改革の区別があいまいだったところを確認できた,資料集・地図で調べた,
2026/09/18 14:43:58,S07,1,とくにない,どれもしていない,
2026/09/18 14:51:23,S08,3,三大改革の表にまとめ直したら整理できた,前に習ったことと結びつけた,
2026/09/18 14:41:37,S09,3,単元テストと返却・振り返りをやった,どれもしていない,
2026/09/18 14:46:04,S10,3,テストで改革の区別があいまいだったところを確認できた,資料集・地図で調べた,
2026/09/18 14:40:53,S11,3,テストで改革の区別があいまいだったところを確認できた,友だちと話して考えた,
2026/09/18 14:40:10,S12,3,年号より流れで覚えるほうが解けると気づいた,友だちと話して考えた,
2026/09/18 14:52:41,S13,3,三大改革の表にまとめ直したら整理できた,先生に質問した,
2026/09/18 14:43:28,S14,3,まちがえた問題の理由を考え直せた,友だちと話して考えた,
2026/09/18 14:47:50,S15,5,ふつうにわかった,資料集・地図で調べた,
2026/09/18 14:44:53,S16,4,テストで改革の区別があいまいだったところを確認できた,先生に質問した,
2026/09/18 14:44:55,S17,2,テストで改革の区別があいまいだったところを確認できた,友だちと話して考えた,
2026/09/18 14:39:16,S18,3,まちがえた問題の理由を考え直せた,ノートに自分でまとめ直した,
2026/09/18 14:38:13,S19,3,テストは思ったよりできた。改革の並べかえが不安,友だちと話して考えた,
2026/09/18 14:51:44,S20,3,まちがえた問題の理由を考え直せた,先生に質問した、資料集・地図で調べた,
2026/09/18 14:49:03,S21,2,年号より流れで覚えるほうが解けると気づいた,友だちと話して考えた,
2026/09/18 14:45:12,S22,3,年号より流れで覚えるほうが解けると気づいた,先生に質問した,
2026/09/18 14:39:05,S23,2,ノートは写した,資料集・地図で調べた,
2026/09/18 14:40:07,S24,4,テストで改革の区別があいまいだったところを確認できた,先生に質問した,
2026/09/18 14:41:34,S25,3,まちがえた問題の理由を考え直せた,先生に質問した、前に習ったことと結びつけた,
2026/09/18 14:41:54,S26,4,まちがえた問題の理由を考え直せた,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/18 14:47:36,S27,2,年号より流れで覚えるほうが解けると気づいた,友だちと話して考えた,
2026/09/18 14:39:54,S28,4,三大改革の表にまとめ直したら整理できた,先生に質問した,
2026/09/18 14:45:49,S29,4,三大改革の表にまとめ直したら整理できた,先生に質問した,
2026/09/18 14:47:22,S30,3,まちがえた問題の理由を考え直せた,先生に質問した,
2026/09/24 14:44:36,S01,4,幕府が朝廷や大名に意見を聞いたことが幕府の力の低下だと知った,前に習ったことと結びつけた,
2026/09/24 14:45:37,S02,4,ペリーが4隻の黒船で来た理由がアメリカの都合だとわかった,前に習ったことと結びつけた,黒船はどれくらいの大きさだったんですか
2026/09/24 14:45:25,S03,5,黒船を見た人々のおどろきが瓦版から伝わってきた,前に習ったことと結びつけた,とくにありません
2026/09/24 14:42:12,S04,3,ペリーが4隻の黒船で来た理由がアメリカの都合だとわかったけど自分で説明はまだできない,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/09/24 14:40:15,S05,4,黒船を見た人々のおどろきが瓦版から伝わってきた,ノートに自分でまとめ直した,
2026/09/24 14:50:53,S06,5,幕府が朝廷や大名に意見を聞いたことが幕府の力の低下だと知った,ノートに自分でまとめ直した,
2026/09/24 14:42:30,S07,1,わかりません,どれもしていない,
2026/09/24 14:42:55,S08,2,ペリーが4隻の黒船で来た理由がアメリカの都合だとわかった,先生に質問した,
2026/09/24 14:50:27,S09,3,ペリー来航と開国をやった,資料集・地図で調べた,
2026/09/24 14:39:11,S10,2,幕府が朝廷や大名に意見を聞いたことが幕府の力の低下だと知った,友だちと話して考えた,とくにありません
2026/09/24 14:46:06,S11,4,幕府が朝廷や大名に意見を聞いたことが幕府の力の低下だと知った,友だちと話して考えた,
2026/09/24 14:51:24,S12,5,幕府が朝廷や大名に意見を聞いたことが幕府の力の低下だと知った,資料集・地図で調べた,
2026/09/24 14:38:58,S13,5,黒船を見た人々のおどろきが瓦版から伝わってきた,先生に質問した,
2026/09/24 14:49:17,S14,2,黒船を見た人々のおどろきが瓦版から伝わってきた,資料集・地図で調べた、ノートに自分でまとめ直した,
2026/09/24 14:49:52,S15,5,ふつうにわかった,資料集・地図で調べた,
2026/09/24 14:50:01,S16,4,日米和親条約で下田と函館が開かれたとわかった,ノートに自分でまとめ直した,
2026/09/24 14:44:28,S17,4,ペリーが4隻の黒船で来た理由がアメリカの都合だとわかった,前に習ったことと結びつけた,
2026/09/24 14:50:23,S18,3,ペリーが4隻の黒船で来た理由がアメリカの都合だとわかった。授業が楽しかった,ノートに自分でまとめ直した,
2026/09/24 14:52:40,S19,3,黒船を見た人々のおどろきが瓦版から伝わってきた,ノートに自分でまとめ直した,
2026/09/24 14:43:51,S20,3,幕府が朝廷や大名に意見を聞いたことが幕府の力の低下だと知った,友だちと話して考えた,
2026/09/24 14:40:48,S21,5,幕府が朝廷や大名に意見を聞いたことが幕府の力の低下だと知った,友だちと話して考えた、前に習ったことと結びつけた,
2026/09/24 14:48:07,S22,4,日米和親条約で下田と函館が開かれたとわかった,前に習ったことと結びつけた,とくにありません
2026/09/24 14:48:48,S23,5,黒船を見た人々のおどろきが瓦版から伝わってきた。黒船のことをもっと調べたい,資料集・地図で調べた、前に習ったことと結びつけた,黒船はどれくらいの大きさだったんですか
2026/09/24 14:52:09,S24,3,ペリーが4隻の黒船で来た理由がアメリカの都合だとわかった,友だちと話して考えた,とくにありません
2026/09/24 14:38:57,S25,4,幕府が朝廷や大名に意見を聞いたことが幕府の力の低下だと知った,友だちと話して考えた,
2026/09/24 14:42:07,S26,4,ペリーが4隻の黒船で来た理由がアメリカの都合だとわかった。表にまとめ直した,ノートに自分でまとめ直した、前に習ったことと結びつけた,
2026/09/24 14:46:06,S27,4,ペリーが4隻の黒船で来た理由がアメリカの都合だとわかった。授業が楽しかった,資料集・地図で調べた,
2026/09/24 14:50:25,S28,5,日米和親条約で下田と函館が開かれたとわかった。授業が楽しかった,ノートに自分でまとめ直した,とくにありません
2026/09/24 14:45:20,S29,4,黒船を見た人々のおどろきが瓦版から伝わってきた,先生に質問した,とくにありません
2026/09/24 14:52:26,S30,4,ペリーが4隻の黒船で来た理由がアメリカの都合だとわかった,資料集・地図で調べた、ノートに自分でまとめ直した,
2026/09/25 14:45:35,S01,3,関税自主権がないと国内の産業が守れないとわかった,資料集・地図で調べた,
2026/09/25 14:50:49,S02,3,開港地が増えて貿易が始まったことがわかった,資料集・地図で調べた,不平等条約はいつ直せたんですか
2026/09/25 14:45:15,S03,4,開港地が増えて貿易が始まったことがわかった,前に習ったことと結びつけた,とくにありません
2026/09/25 14:41:58,S04,2,領事裁判権と関税自主権のどっちがどっちか迷う,ノートに自分でまとめ直した,図で整理するプリントがほしいです
2026/09/25 14:44:38,S05,2,日本に不利な条約を結ばされた流れがわかった,前に習ったことと結びつけた,
2026/09/25 14:50:40,S06,3,領事裁判権を認めたことがなぜ不平等なのかわかった,ノートに自分でまとめ直した,
2026/09/25 14:42:22,S07,1,とくにない,どれもしていない,
2026/09/25 14:43:50,S08,1,関税自主権がないと国内の産業が守れないとわかった,先生に質問した,
2026/09/25 14:51:53,S09,3,不平等条約とその内容をやった,資料集・地図で調べた,
2026/09/25 14:41:57,S10,4,日本に不利な条約を結ばされた流れがわかった,前に習ったことと結びつけた,
2026/09/25 14:52:38,S11,3,関税自主権がないと国内の産業が守れないとわかった,友だちと話して考えた,
2026/09/25 14:38:45,S12,1,日本に不利な条約を結ばされた流れがわかった,友だちと話して考えた,
2026/09/25 14:51:38,S13,2,領事裁判権を認めたことがなぜ不平等なのかわかった,前に習ったことと結びつけた,
2026/09/25 14:39:46,S14,4,開港地が増えて貿易が始まったことがわかった,先生に質問した,とくにありません
2026/09/25 14:51:29,S15,5,ふつうにわかった,資料集・地図で調べた,
2026/09/25 14:46:56,S16,2,領事裁判権を認めたことがなぜ不平等なのかわかった,ノートに自分でまとめ直した、友だちと話して考えた,
